work_order_id,created_at,completed_at,category,priority,site,technician,resolution_hours,sla_target_hours,sla_met,downtime_hours,labor_cost,material_cost,total_cost,month
WO-00001,2026-06-27 23:00:00,2026-06-28 12:14:42.396080740,HVAC,Low,Utility Room,Tech E,13.2,72,1,0.2,534.88,175.06,742.6,2026-06
WO-00002,2026-02-15 12:00:00,2026-02-18 18:53:35.859242210,Controls,Low,Production B,Tech C,78.9,72,0,4.5,3251.02,154.71,4078.09,2026-02
WO-00003,2026-06-18 00:00:00,2026-06-18 03:55:46.500625600,Controls,Low,Office,Tech B,3.9,72,1,0.0,221.55,104.81,326.36,2026-06
WO-00004,2026-02-01 20:00:00,2026-02-02 00:00:25.901314356,Electrical,Medium,Office,Tech E,4.0,48,1,0.5,200.55,33.75,304.51,2026-02
WO-00005,2026-02-02 19:00:00,2026-02-03 08:53:09.472350350,Mechanical,Medium,Utility Room,Tech B,13.9,48,1,1.5,615.13,363.15,1200.17,2026-02
WO-00006,2026-01-02 23:00:00,2026-01-05 20:36:45.565267910,HVAC,Low,Warehouse,Tech E,69.6,72,1,3.9,3244.31,399.28,4231.59,2026-01
WO-00007,2026-06-01 14:00:00,2026-06-01 21:48:34.882719764,General Maintenance,High,Production B,Tech D,7.8,24,1,3.2,405.62,28.88,914.66,2026-06
WO-00008,2026-06-08 01:00:00,2026-06-09 14:08:20.844720188,HVAC,Low,Production A,Tech B,37.1,72,1,1.0,1341.3,168.76,1661.56,2026-06
WO-00009,2026-03-23 10:00:00,2026-03-23 17:43:38.760466226,Mechanical,High,Warehouse,Tech C,7.7,24,1,2.5,354.91,236.62,959.99,2026-03
WO-00010,2026-05-19 20:00:00,2026-05-21 21:10:33.958963695,Mechanical,Low,Production B,Tech B,49.2,72,1,2.4,1674.07,158.17,2198.07,2026-05
WO-00011,2026-03-13 18:00:00,2026-03-15 05:51:14.400127414,HVAC,Medium,Warehouse,Tech E,35.9,48,1,1.2,1590.1,21.26,1791.87,2026-03
WO-00012,2026-03-29 05:00:00,2026-03-29 16:54:46.358026167,HVAC,Medium,Production B,Tech C,11.9,48,1,0.3,623.12,129.61,802.27,2026-03
WO-00013,2026-04-20 08:00:00,2026-04-20 16:43:23.778440607,Plumbing,Low,Production B,Tech D,8.7,72,1,0.5,411.63,67.51,558.28,2026-04
WO-00014,2026-05-21 10:00:00,2026-05-22 10:13:37.421516946,Controls,Medium,Office,Tech E,24.2,48,1,1.2,1039.22,61.05,1286.14,2026-05
WO-00015,2026-03-26 09:00:00,2026-03-27 16:46:11.307117155,HVAC,Low,Utility Room,Tech E,31.8,72,1,2.0,1390.98,289.22,1977.07,2026-03
WO-00016,2026-01-24 07:00:00,2026-01-24 23:05:24.385327915,Controls,Medium,Production B,Tech A,16.1,48,1,0.9,554.78,108.42,799.61,2026-01
WO-00017,2026-06-01 21:00:00,2026-06-02 13:30:45.331394922,HVAC,Medium,Production B,Tech B,16.5,48,1,0.6,570.33,123.36,784.7,2026-06
WO-00018,2026-03-14 15:00:00,2026-03-15 09:06:00.224055111,HVAC,Medium,Office,Tech E,18.1,48,1,0.1,849.27,180.39,1050.2,2026-03
WO-00019,2026-01-01 18:00:00,2026-01-02 02:01:10.677720705,HVAC,Low,Production B,Tech A,8.0,72,1,0.8,382.55,321.68,821.28,2026-01
WO-00020,2026-05-09 16:00:00,2026-05-09 16:58:38.597107228,General Maintenance,Critical,Production B,Tech E,1.0,8,1,0.6,35.39,98.36,225.06,2026-05
WO-00021,2026-05-30 23:00:00,2026-05-31 02:31:43.107322690,HVAC,Low,Production B,Tech A,3.5,72,1,0.0,147.83,404.98,552.81,2026-05
WO-00022,2026-01-19 02:00:00,2026-01-20 05:10:03.826091235,HVAC,Medium,Production A,Tech C,27.2,48,1,1.4,1016.85,219.87,1443.37,2026-01
WO-00023,2026-04-04 11:00:00,2026-04-08 13:18:44.866457377,HVAC,Low,Office,Tech A,98.3,72,0,5.1,4084.01,184.46,5034.7,2026-04
WO-00024,2026-02-09 08:00:00,2026-02-09 14:57:28.522841087,Plumbing,Low,Utility Room,Tech E,7.0,72,1,0.0,322.86,86.5,409.36,2026-02
WO-00025,2026-02-27 10:00:00,2026-03-01 09:08:40.570301161,Electrical,Low,Warehouse,Tech C,47.1,72,1,2.5,1793.09,89.55,2255.03,2026-02
WO-00026,2026-01-15 07:00:00,2026-01-17 19:05:48.512168791,Mechanical,Low,Utility Room,Tech A,60.1,72,1,2.4,2124.32,236.25,2721.16,2026-01
WO-00027,2026-04-30 18:00:00,2026-05-02 04:03:10.710749627,HVAC,Low,Production A,Tech E,34.1,72,1,1.3,1569.74,98.57,1856.4,2026-04
WO-00028,2026-06-25 10:00:00,2026-06-26 21:04:04.312634087,Electrical,Low,Utility Room,Tech C,35.1,72,1,1.8,1693.97,127.66,2090.95,2026-06
WO-00029,2026-04-05 06:00:00,2026-04-05 07:25:51.333993135,Controls,High,Warehouse,Tech E,1.4,24,1,0.0,57.11,38.76,95.87,2026-04
WO-00030,2026-01-04 18:00:00,2026-01-04 19:30:14.795830573,Electrical,High,Production A,Tech E,1.5,24,1,0.0,56.76,173.78,230.54,2026-01
WO-00031,2026-01-27 10:00:00,2026-01-28 22:27:07.221978768,HVAC,High,Production A,Tech D,36.5,24,0,9.0,938.89,48.63,2339.15,2026-01
WO-00032,2026-05-24 18:00:00,2026-05-25 15:06:42.015168877,Electrical,Medium,Warehouse,Tech E,21.1,48,1,0.5,1071.68,149.51,1289.9,2026-05
WO-00033,2026-03-16 22:00:00,2026-03-16 23:47:02.105501355,HVAC,High,Production A,Tech A,1.8,24,1,1.3,70.85,0.0,270.57,2026-03
WO-00034,2026-05-02 09:00:00,2026-05-03 00:12:20.966351597,Controls,Medium,Utility Room,Tech C,15.2,48,1,0.0,637.78,121.28,759.06,2026-05
WO-00035,2026-04-08 11:00:00,2026-04-08 13:51:51.981772622,Electrical,High,Production A,Tech B,2.9,24,1,1.7,119.25,160.16,533.36,2026-04
WO-00036,2026-01-11 08:00:00,2026-01-12 05:47:40.859284674,General Maintenance,Low,Utility Room,Tech C,21.8,72,1,2.3,1135.0,39.8,1514.43,2026-01
WO-00037,2026-01-10 07:00:00,2026-01-10 23:43:55.518979735,General Maintenance,Medium,Production A,Tech A,16.7,48,1,0.5,712.99,0.0,782.8,2026-01
WO-00038,2026-04-11 00:00:00,2026-04-11 18:03:41.872197134,Electrical,Medium,Office,Tech E,18.1,48,1,0.2,676.01,170.78,877.88,2026-04
WO-00039,2026-01-10 20:00:00,2026-01-11 01:16:49.469601005,General Maintenance,High,Utility Room,Tech B,5.3,24,1,0.8,249.32,50.9,423.13,2026-01
WO-00040,2026-05-11 14:00:00,2026-05-11 15:58:04.242185281,Electrical,Critical,Warehouse,Tech B,2.0,8,1,0.0,73.87,45.29,119.16,2026-05
WO-00041,2026-05-18 13:00:00,2026-05-19 06:46:34.974726574,Controls,Medium,Warehouse,Tech D,17.8,48,1,0.2,595.69,81.69,709.9,2026-05
WO-00042,2026-02-26 13:00:00,2026-02-26 20:32:02.884884932,HVAC,High,Warehouse,Tech A,7.5,24,1,0.6,343.06,96.99,525.19,2026-02
WO-00043,2026-02-03 01:00:00,2026-02-03 06:28:53.638110509,HVAC,Medium,Production A,Tech C,5.5,48,1,0.0,240.95,196.35,437.3,2026-02
WO-00044,2026-03-14 07:00:00,2026-03-15 17:38:33.005890200,HVAC,Low,Production A,Tech B,34.6,72,1,1.4,1501.34,148.38,1856.06,2026-03
WO-00045,2026-06-15 04:00:00,2026-06-15 11:08:06.524234271,Electrical,Medium,Production A,Tech A,7.1,48,1,0.6,311.8,174.41,575.31,2026-06
WO-00046,2026-06-21 02:00:00,2026-06-22 13:43:30.976751556,General Maintenance,Low,Production B,Tech D,35.7,72,1,1.7,1159.58,76.69,1488.83,2026-06
WO-00047,2026-06-26 05:00:00,2026-06-26 12:31:13.231769658,Electrical,Medium,Production B,Tech A,7.5,48,1,0.0,323.04,213.33,536.37,2026-06
WO-00048,2026-06-15 10:00:00,2026-06-15 14:37:44.503637848,Mechanical,Medium,Production A,Tech A,4.6,48,1,0.7,257.08,218.7,583.47,2026-06
